primaryID	primarySymbol	secondaryID	secondarySymbol	predicateID	mapping_cardinality_sec2pri	comment	source
HGNC:34	ABCA4	HGNC:75	ABCR	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:86	ACAD	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:2313	CPN2	HGNC:96	ACBP	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:84	ACACA	HGNC:97	ACC	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:99	ASIC2	HGNC:98	ACCN	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:3690	FGFR3	HGNC:106	ACH	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:21101	CUTA	HGNC:107	ACHAP	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:2153	CNGB3	HGNC:109	ACHM1	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:2150	CNGA3	HGNC:110	ACHM2	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:2153	CNGB3	HGNC:111	ACHM3	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:1965	CHRND	HGNC:112	ACHRD	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:1967	CHRNG	HGNC:113	ACHRG	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:114	ACLS	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:116	ACMG	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:12428	TWIST1	HGNC:128	ACS3	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:145	ACTG2	HGNC:131	ACTA3	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:138	ACTBP5	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:147	ACTG1P2	HGNC:156	ACTL2	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:145	ACTG2	HGNC:157	ACTL3	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:158	ACTL4	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:159	ACTL5	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:171	ACVR1	HGNC:176	ACVRLK2	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:26295	CCDC102B	HGNC:178	ACY1L	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:620	APP	HGNC:181	AD1	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:613	APOE	HGNC:182	AD2	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:9508	PSEN1	HGNC:183	AD3	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:9509	PSEN2	HGNC:184	AD4	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:185	AD5	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:3009	DPP4	HGNC:230	ADCP2	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:12797	WT2	HGNC:231	ADCR	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID. Object is also withdrawn.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:245	ADD3	HGNC:246	ADDL	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:247	ADFN	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:254	ADH5P1	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:10805	SGCA	HGNC:258	ADL	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:6211	ANOS1	HGNC:260	ADMLX	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:6214	ANOS2P	HGNC:261	ADMLY	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:266	ADORA2L1	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:267	ADORA2L2	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:277	ADRA1A	HGNC:279	ADRA1C	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:282	ADRA2B	HGNC:284	ADRA2L1	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:5286	HTR1A	HGNC:287	ADRB2RL1	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:293	ADT	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:561	AP2A1	HGNC:294	ADTAA	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:562	AP2A2	HGNC:295	ADTAB	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:554	AP1B1	HGNC:296	ADTB1	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:563	AP2B1	HGNC:299	ADTB2	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:555	AP1G1	HGNC:300	ADTG	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:11027	SLC4A1	HGNC:301	AE1	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:11028	SLC4A2	HGNC:302	AE2	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:6218	KCNA1	HGNC:305	AEMK	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:934	BACE2	HGNC:306	AEPLC	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:17129	SLC39A4	HGNC:308	AEZ	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:309	AF8T	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:310	AFA	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:1474	CAPG	HGNC:311	AFCP	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:312	AFD1	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:314	AFG3L1P	HGNC:313	AFG3	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:1133	BTK	HGNC:322	AGMX1	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:323	AGMX2	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:6188	JAG1	HGNC:331	AGS	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:12269	TREX1	HGNC:332	AGS1	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:16058	NLN	HGNC:334	AGTBP	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:745	ASIP	HGNC:335	AGTIL	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:336	AGTR1	HGNC:337	AGTR1B	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:340	AGTRL2	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:7960	NR0B1	HGNC:342	AHC	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:10923	SLC16A2	HGNC:345	AHDS	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:350	AIC	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:1393	CACNA1F	HGNC:351	AIED	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:461	AMELX	HGNC:353	AIH1	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:3344	ENAM	HGNC:354	AIH2	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:355	AIH3	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:17376	AK3	HGNC:366	AK6	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:382	AKR1B10	HGNC:383	AKR1B11	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:4892	HGD	HGNC:394	AKU	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:396	ALAS1	HGNC:398	ALAS3	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:61	ABCD1	HGNC:401	ALD	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:66	ABCD2	HGNC:413	ALDL1	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:381	AKR1B1	HGNC:419	ALDR1	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:421	ALDRL2	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:424	ALDRL5	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:426	ALFN1	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:440	ALPPL1	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:11179	SOD1	HGNC:442	ALS1	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:444	ALS3	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:11226	SPG11	HGNC:446	ALS5	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:5172	HR	HGNC:448	ALUNC	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:12011	TPM2	HGNC:454	AMCD1	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:11946	TNNI2	HGNC:455	AMCD2B	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:456	AMCN	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:460	AMD1P2	HGNC:458	AMD2	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:7944	NPR2	HGNC:459	AMDM	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:1052	BIN1	HGNC:472	AMPHL	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:8620	PAX6	HGNC:480	AN1	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:8620	PAX6	HGNC:481	AN2	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:489	ANGPTL1	HGNC:486	ANGPT3	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:491	ANGPTL3	HGNC:488	ANGPT5	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:498	ANOP1	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:7939	NPPA	HGNC:499	ANP	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:7943	NPR1	HGNC:501	ANPRA	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:7944	NPR2	HGNC:502	ANPRB	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:7945	NPR3	HGNC:503	ANPRC	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:10990	SLC25A4	HGNC:504	ANT1	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:10991	SLC25A5	HGNC:505	ANT2	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:10992	SLC25A6	HGNC:506	ANT3	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:508	ANTP2	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:19250	SLC25A5P1	HGNC:509	ANTP3	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
Entry Withdrawn	Entry Withdrawn	HGNC:510	ANTP4	oboInOwl:consider	1:0	ID (subject) withdrawn/deprecated.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:533	ANXA1	HGNC:514	ANX1	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:535	ANXA11	HGNC:515	ANX11	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:536	ANXA13	HGNC:516	ANX13	IAO:0100001	1:1	ID (subject) is replaced.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
HGNC:537	ANXA2	HGNC:517	ANX2	IAO:0100001	n:1	This ID (subject) and other ID(s) are merged into one ID.	https://www.genenames.org/download/archive/quarterly/tsv/datasources/hgnc/data/withdrawn_2025-07-01.txt
